編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2069,運錩,未知,0.05,2.08,-0.3|0.25|-0.56|-0.2|,-1.54,-9.74,0.5,0,-4.07,6.55,-27.13,-58.14,15,71.61,76.96,19.09|26.07|24|22.64|15.46|,2020/8,N,N,N
2070,精湛,未知,0.56,2.09,-0.25|0.06|-0.64|-1.15|,-3.08,-8.57,1,0,-3.28,5.04,-12.42,-46.86,26.4,78.39,73.19,43.08|33.8|28.65|,2020/8,N,N,N
2101,南港,未知,1.42,0.93,0.52|0.15|-0.16|0.72|,1.21,39.96,0.35,0,1.07,1.12,2.21,15.29,48.35,55.46,46.9,28.74|28.24|25.87|38.53|44.08|,2020/8,N,N,N
2103,台橡,未知,0.9,1.05,0.02|0.13|0.07|-0.14|,0.1,186.5,0.5,0,0.1,2.72,0.54,1.43,18.65,76.84,79.39,28.34|34.62|31.26|26.41|17.99|,2020/8,N,N,N
2104,中橡,未知,1.06,2.39,0.53|-0.52|-0.04|-0.23|,-0.67,-30.3,0.2,0,-0.35,2.7,-1.72,-5,20.3,30.69,48.04,24.44|35.32|43.96|37.08|22.26|,2020/8,N,N,N
2105,正新,未知,1.07,2.38,0.09|0.14|-0.61|0.7|,0.19,202.63,1,0,0.16,2.76,0.42,2.29,38.5,84.25,71.17,63.28|60.67|46.29|42.28|35.86|,2020/8,N,N,N
2106,建大,未知,1.16,1.97,0.57|0.08|-0.6|0.53|,-0.15,-199.67,0.4,0.4,-0.16,3.12,-0.53,-2.29,29.95,32.54,32.77,50.16|45.45|32.91|30.15|28.69|,2020/8,N,N,N
2107,厚生,未知,1.54,0.98,0.71|0.26|0.73|0.49|,2.5,8.42,0.82,0,2,2.7,9.5,28.57,21.05,48.31,65.28,15.85|15.83|14.95|17.96|17.95|,2020/8,Y,N,N
2108,南帝,未知,2.9,2.38,0.55|0.62|0.73|0.85|,3.31,15.02,2.1,0,2.07,4.3,4.16,29.57,49.7,57.14,70.38,24.45|23.17|27.31|32.44|34.33|,2020/8,N,N,N
2114,鑫永銓,未知,5.49,5.49,1.3|1.31|1.55|1.14|,5.3,15.25,5,0,4.64,5.67,5.74,66.29,80.8,20.52,31.83,78.45|76.03|88.05|85.02|79.82|,2020/8,N,N,Y
2115,六暉-KY,未知,2.75,3.15,0.78|0.75|0.46|4.23|,9.58,4.34,2.2,0.5,5.14,3.83,12.37,73.43,41.55,35.61,31.02,50.43|54.93|35.72|38.85|40.08|,2020/8,Y,N,N
2206,三陽工業,未知,2.71,1.54,0.14|-0.13|0.76|0.5|,2.75,8.56,1.01,0,0.2,3.65,0.85,2.86,23.55,35.84,35.47,21.09|21.22|20.87|20.96|21.04|,2020/8,N,Y,N
2207,和泰車,未知,21.55,19.2,6.04|5.35|6.35|5.94|,26.53,24.5,14,0,17.05,3.09,2.62,243.57,650,73.32,53.66,341.23|358.05|277.58|456.02|604.12|,2020/8,N,N,N
2221,大甲,其他業,2.46,2.31,0.61|0.34|0.36|0.4|,1.61,14.91,1.5,0,0.98,3.2,4.08,14,24,40.09,52.94,17.47|25.48|32|32.81|25.6|,2020/8,N,N,N
2227,裕日車,未知,24.27,19.07,6.59|7.39|0.6|4.94|,11.4,21.93,21.27,0,12.22,6.94,4.89,174.57,250,71.71,53.53,210.76|248.06|247.58|258.43|257.49|,2020/8,N,N,N
